,Pos,Team,PTS,Year
0,1,Vanwall,48,1958
1,2,Ferrari,40,1958
2,3,Cooper Climax,31,1958
3,4,BRM,18,1958
4,5,Maserati,6,1958
5,6,Lotus Climax,3,1958
6,1,Cooper Climax,40,1959
7,2,Ferrari,32,1959
8,3,BRM,18,1959
9,4,Lotus Climax,5,1959
10,1,Cooper Climax,48,1960
11,2,Lotus Climax,34,1960
12,3,Ferrari,26,1960
13,4,BRM,8,1960
14,5,Cooper Maserati,3,1960
15,6,Cooper Castellotti,3,1960
16,1,Ferrari,40,1961
17,2,Lotus Climax,32,1961
18,3,Porsche,22,1961
19,4,Cooper Climax,14,1961
20,5,BRM Climax,7,1961
21,1,BRM,42,1962
22,2,Lotus Climax,36,1962
23,3,Cooper Climax,29,1962
24,4,Lola Climax,19,1962
25,5,Porsche,18,1962
26,6,Ferrari,18,1962
27,7,Brabham Climax,6,1962
28,8,Lotus BRM,1,1962
29,1,Lotus Climax,54,1963
30,2,BRM,36,1963
31,3,Brabham Climax,28,1963
32,4,Ferrari,26,1963
33,5,Cooper Climax,25,1963
34,6,BRP BRM,6,1963
35,7,Porsche,5,1963
36,8,Lotus BRM,4,1963
37,1,Ferrari,45,1964
38,2,BRM,42,1964
39,3,Lotus Climax,37,1964
40,4,Brabham Climax,30,1964
41,5,Cooper Climax,16,1964
42,6,Brabham BRM,7,1964
43,7,BRP BRM,5,1964
44,8,Lotus BRM,3,1964
45,1,Lotus Climax,54,1965
46,2,BRM,45,1965
47,3,Brabham Climax,27,1965
48,4,Ferrari,26,1965
49,5,Cooper Climax,14,1965
50,6,Honda,11,1965
51,7,Brabham BRM,5,1965
52,8,Lotus BRM,2,1965
53,1,Brabham Repco,42,1966
54,2,Ferrari,31,1966
55,3,Cooper Maserati,30,1966
56,4,BRM,22,1966
57,5,Lotus BRM,13,1966
58,6,Lotus Climax,8,1966
59,7,Eagle Climax,4,1966
60,8,Honda,3,1966
61,9,McLaren Ford,2,1966
62,10,Brabham BRM,1,1966
63,11,McLaren Serenissima,1,1966
64,12,Brabham Climax,1,1966
65,1,Brabham Repco,63,1967
66,2,Lotus Ford,44,1967
67,3,Cooper Maserati,28,1967
68,4,Honda,20,1967
69,5,Ferrari,20,1967
70,6,BRM,17,1967
71,7,Eagle Weslake,13,1967
72,8,Cooper Climax,6,1967
73,9,Lotus BRM,6,1967
74,10,McLaren BRM,3,1967
75,11,Brabham Climax,2,1967
76,1,Lotus Ford,62,1968
77,2,McLaren Ford,49,1968
78,3,Matra Ford,45,1968
79,4,Ferrari,32,1968
80,5,BRM,28,1968
81,6,Honda,14,1968
82,7,Cooper BRM,14,1968
83,8,Brabham Repco,10,1968
84,9,Matra,8,1968
85,10,Mclaren BRM,3,1968
86,1,Matra Ford,66,1969
87,2,Brabham Ford,49,1969
88,3,Lotus Ford,47,1969
89,4,McLaren Ford,38,1969
90,5,Ferrari,7,1969
91,6,BRM,7,1969
92,1,Lotus Ford,59,1970
93,2,Ferrari,52,1970
94,3,March Ford,48,1970
95,4,Brabham Ford,35,1970
96,5,McLaren Ford,35,1970
97,6,BRM,23,1970
98,7,Matra,23,1970
