Country Name,Total Infected,Total Deaths,Total Recovered,Death %,Recovered %
USA,47916190,783565,37918301,1.6,79.1
India,34447536,463655,33849785,1.3,98.3
Brazil,21957967,611318,21151342,2.8,96.3
UK,9561099,142898,7825200,1.5,81.8
Russia,9109094,256597,7812557,2.8,85.8
Turkey,8408166,73531,7888959,0.9,93.8
France,7287645,118154,7009026,1.6,96.2
Iran,6045212,128272,5708253,2.1,94.4
Argentina,5305742,116232,5172193,2.2,97.5
Spain,5047156,87673,4889801,1.7,96.9
Germany,5038436,98194,4494300,1.9,89.2
Colombia,5031945,127809,4872420,2.5,96.8
Italy,4860061,132775,4608056,2.7,94.8
Indonesia,4251076,143670,4098884,3.4,96.4
Mexico,3845733,291147,3206890,7.6,83.4
Ukraine,3228441,77147,2642459,2.4,81.8
Poland,3214023,78879,2817206,2.5,87.7
South Africa,2925939,89484,2819688,3.1,96.4
Philippines,2818511,45709,2745777,1.6,97.4
Malaysia,2546309,29676,2451216,1.2,96.3
Netherlands,2295107,18734,2025305,0.8,88.2
Peru,2214543,200635,1720665,9.1,77.7
Iraq,2069247,23503,2025057,1.1,97.9
Thailand,2024753,20079,1910509,1,94.4
Czech Republic,1896075,31541,1722749,1.7,90.9
Canada,1748391,29337,1693037,1.7,96.8
Romania,1744440,53264,1587856,3.1,91
Chile,1726481,37975,1643486,2.2,95.2
Japan,1725466,18327,1705474,1.1,98.8
Bangladesh,1572501,27922,1536515,1.8,97.7
Belgium,1484712,26321,1242741,1.8,83.7
Israel,1337493,8143,1323574,0.6,99
Pakistan,1279876,28612,1228473,2.2,96
Serbia,1211163,10839,1108124,0.9,91.5
Sweden,1182471,15051,1147455,1.3,97
Portugal,1107488,18257,1051300,1.6,94.9
Vietnam,1035138,23183,864516,2.2,83.5
Austria,971541,11746,842934,1.2,86.8
Hungary,960844,32171,825775,3.3,85.9
Cuba,958738,8282,948649,0.9,98.9
Kazakhstan,957537,12434,915369,1.3,95.6
Morocco,948226,14743,930012,1.6,98.1
Switzerland,918745,11356,844708,1.2,91.9
Jordan,892123,11238,851303,1.3,95.4
Greece,831874,16766,737765,2,88.7
Nepal,817333,11478,798544,1.4,97.7
Georgia,785911,11057,722399,1.4,91.9
UAE,741006,2144,735638,0.3,99.3
Tunisia,715687,25311,689504,3.5,96.3
Bulgaria,655647,26279,516141,4,78.7
Lebanon,652735,8582,623694,1.3,95.6
Belarus,629271,4861,609243,0.8,96.8
Guatemala,610004,15714,591720,2.6,97
Costa Rica,564159,7197,524560,1.3,93
Slovakia,563445,13598,472092,2.4,83.8
Azerbaijan,560853,7445,522431,1.3,93.1
Sri Lanka,551343,13995,523929,2.5,95
Saudi Arabia,549260,8816,538329,1.6,98
Croatia,539887,9936,495889,1.8,91.9
Bolivia,523485,19017,482744,3.6,92.2
Ecuador,519560,32989,443880,6.3,85.4
Myanmar,513262,18929,484340,3.7,94.4
Ireland,498448,5566,407512,1.1,81.8
Panama,474621,7343,465473,1.5,98.1
Paraguay,461957,16337,444977,3.5,96.3
Lithuania,444181,6344,401124,1.4,90.3
Denmark,426992,2772,387199,0.6,90.7
Palestine,426798,4486,419178,1.1,98.2
Venezuela,419745,5026,405840,1.2,96.7
Kuwait,413008,2462,410277,0.6,99.3
South Korea,397466,3115,362834,0.8,91.3
Uruguay,396545,6101,388424,1.5,98
Dominican Republic,395856,4170,387191,1.1,97.8
Slovenia,379964,4953,332168,1.3,87.4
Honduras,376967,10353,117912,2.7,31.3
Mongolia,373344,1888,313256,0.5,83.9
Ethiopia,368822,6623,344707,1.8,93.5
Libya,365237,5307,318816,1.5,87.3
Moldova,352822,8495,332709,2.4,94.3
Egypt,343961,19499,287682,5.7,83.6
Armenia,329341,7055,295722,2.1,89.8
Oman,304437,4113,299853,1.4,98.5
Bahrain,277223,1393,275590,0.5,99.4
Bosnia and Herzegovina,263587,11962,192218,4.5,72.9
Kenya,254309,5319,247682,2.1,97.4
Qatar,241232,611,238965,0.3,99.1
Latvia,240762,3765,216645,1.6,90
Singapore,237203,586,212724,0.2,89.7
Norway,228526,951,88952,0.4,38.9
Nigeria,213147,2968,205732,1.4,96.5
Estonia,212607,1690,184487,0.8,86.8
Zambia,209996,3666,206209,1.7,98.2
North Macedonia,209277,7328,193400,3.5,92.4
Algeria,207970,5984,142698,2.9,68.6
Botswana,193701,2411,190577,1.2,98.4
Albania,193075,2990,181649,1.5,94.1
Australia,190624,1888,167278,1,87.8
Uzbekistan,189915,1358,186191,0.7,98
Kyrgyzstan,182425,2707,176909,1.5,97
Finland,170285,1230,46000,0.7,27
Afghanistan,156610,7294,129263,4.7,82.5
